id,utme,utmn,watershed,focusarea,name,type,year-compl,upstream,drainage,bankfull-estimated,bankfull-calculated,sponsor,cost-culve,cost-total,survey-date-pre,survey-date-post,design,permit,dimension-length,dimension-height,dimension-width,longitude,latitude
38,594753,4973920,Middle Machias River,Pembroke Stream-Machias River,Pembroke tributary,Decommission,2006,1,1.59,,10.2,,,,,,,,,,,-67.799612,44.912399
39,596764,4979861,Old Stream,Old Stream,Old Stream tributary,Open Arch,2006,0.5,0.07,4,3.5,,2454,6169,,,,,30,5,,-67.773003,44.965598
40,597746,4978553,Old Stream,Old Stream,Old Stream tributary,Open Arch,2006,0.5,0.07,3,3.5,,2132,4718,,,,,30,4,,-67.760807,44.953691
41,598329,4978085,Old Stream,Old Stream,Old Stream tributary,Open Arch,2006,0.5,0.1,4,4,,2472,5572,,,,,30,5,,-67.753509,44.949399
42,598495,4978076,Old Stream,Old Stream,Old Stream tributary,Open Arch,2006,0.5,0.06,3,3.3,,2133,5005,,,,,30,4,,-67.751407,44.949295
43,577618,5002065,Upper Machias River,Fifth Machias Lake-Fourth Machias Lake,4th Machias Lake tributary,Decommission,2006,1,0.82,,8.1,,,,,,,,,,,-68.012304,45.167795
44,599104,4977997,Old Stream,Old Stream,Old Stream tributary,Open Arch,2006,0.5,0.06,4,3.3,,2472,6600,,,,,30,5,,-67.743704,44.948499
45,588646,4978762,Middle Machias River,West Branch Machias River,Pilot Project,Open Arch,2005,0.31,0.37,7,6.2,,,27000,,,,,,10,,-67.876114,44.956766
46,594258,4987573,Old Stream,Old Stream,Old Stream 3rd Lake tributary,Open Arch,2009,0.55,0.36,6,6.1,,10458.35,22818.85,8/28/2009,,Contech,LURC,46,7,"3'8""",-67.803329,45.035342
47,595500,4985874,Old Stream,Old Stream,Old Stream 3rd Lake tributary,Open Arch,2009,0.34,0.1,,4,,8003.97,19879.97,,,Contech,LURC,38,6,"3'2""",-67.787887,45.019885
48,594048,4987531,Old Stream,Old Stream,4th Lake outlet,Open Arch,2010,0.46,0.35,,6.1,Old Stream,18699,40433,11/4/2009,,,,68,10,5',-67.806002,45.034992
49,585644,4944082,Narraguagus River-Narraguagus Bay,Narraguagus River,Lawrence brook,Open Arch,2007,4,1.83,12,10.7,,17452,47592,,,,,,14,,-67.920007,44.644992
50,588286,4992372,Upper Machias River,Third Machias Lake-First Machias Lake,Thompson brook,Open Arch,2008,1.43,0.9,9,8.4,,18953,43360.33,,,,,,12,,-67.878288,45.079303
51,588053,4991569,Upper Machias River,Third Machias Lake-First Machias Lake,Magazine brook,Open Arch,2008,1.62,1.16,8,9.2,,14035,36678.8,,,,,,12,,-67.881389,45.072105
52,582426,4984665,Middle Machias River,West Branch Machias River,Ingalls brook,Open Arch,2009,0.49,0.61,6,7.4,,9838.78,23598.74,8/4/2009,7/14/2011,,,40,10,"5'3""",-67.953994,45.010644
53,600419,4978184,Old Stream,Old Stream,Grover Lake tributary,Bridge,2010,1,0.84,,8.2,DPS,,24127,,,,,,11,,-67.727002,44.949998
54,590757,4991474,Upper Machias River,Third Machias Lake-First Machias Lake,Machias tributary,Decommission,2008,0.37,0.35,,6.1,,,,,,,,,,,-67.847062,45.070908
55,587087,4979688,Middle Machias River,West Branch Machias River,West Branch Machias tributary,Decommission,2008,0.37,0.43,,6.5,,,,,,,,,,,-67.895716,44.965293
